Phone Number,International Plan,Voice mail Plan,Account Length,Total day Charge,Number Customer Service calls,Churn,State,churn_probability,predicted_churn,risk_tier
 363-5450, no, no,65,35.92,3,No,MI,0.0,No,Low
 364-1995, no, no,142,31.79,2,No,DE,0.0,No,Low
 398-1294, no, no,119,27.05,5,Yes,ID,0.8,Yes,Critical
 405-7146, no, yes,97,22.64,1,No,WY,0.02,No,Low
 413-4957, no, no,52,32.62,3,No,IA,0.02,No,Low
 420-5645, no, no,60,37.5,1,No,IN,0.01,No,Low
 349-4396, no, no,10,31.64,2,No,VA,0.06,No,Low
 404-3211, no, no,96,27.23,2,No,UT,0.04,No,Low
 353-3759, no, no,87,25.67,5,Yes,WY,0.57,Yes,High
 363-5947, no, no,81,29.84,1,No,IN,0.03,No,Low
 340-5121, no, no,141,21.57,1,No,CO,0.02,No,Low
 370-7574, no, yes,121,33.73,3,Yes,CO,0.65,Yes,High
 403-9733, no, no,68,25.3,3,No,WI,0.1,No,Low
 355-7251, no, no,125,38.98,1,No,OK,0.02,No,Low
 359-5893, no, no,174,32.66,1,No,ID,0.01,No,Low
 405-3371, no, yes,116,45.66,2,No,CA,0.03,No,Low
 344-5117, no, yes,74,32.93,2,No,MN,0.01,No,Low
 332-8160, no, yes,149,30.72,3,No,SD,0.02,No,Low
 359-4081, no, no,38,22.3,2,No,NC,0.01,No,Low
 352-8305, no, yes,40,25.18,2,No,WA,0.02,No,Low
 329-9847, yes, no,43,42.76,0,No,WY,0.11,No,Low
 365-9011, yes, no,113,21.28,0,No,MN,0.04,No,Low
 338-9472, no, no,126,35.97,1,No,UT,0.02,No,Low
 374-8042, no, no,150,30.41,4,Yes,TX,0.77,Yes,Critical
 359-1231, no, no,138,41.11,3,No,NJ,0.1,No,Low
 413-7170, no, yes,162,38.23,0,No,MN,0.05,No,Low
 415-2935, no, no,147,42.26,3,No,NM,0.01,No,Low
 399-4246, no, no,90,34.58,1,No,NV,0.02,No,Low
 362-5889, no, no,85,40.09,0,No,HI,0.0,No,Low
 350-8921, no, no,50,26.71,1,No,MN,0.0,No,Low
 374-5353, no, no,82,51.05,0,Yes,DC,0.89,Yes,Critical
 360-1171, no, no,144,10.47,4,Yes,NY,0.91,Yes,Critical
 355-8887, no, no,46,36.4,2,No,MN,0.0,No,Low
 333-1967, no, no,70,28.93,1,No,MD,0.02,No,Low
 354-4577, no, no,144,34.19,1,No,WV,0.04,No,Low
 331-7425, yes, no,116,36.62,3,No,OR,0.02,No,Low
 419-2637, no, yes,55,28.15,3,No,CO,0.0,No,Low
 411-1530, no, yes,70,42.42,1,No,GA,0.0,No,Low
 395-3026, no, no,106,35.8,2,Yes,TX,0.68,Yes,High
 388-6441, no, yes,128,30.48,0,No,VT,0.0,No,Low
 402-1251, no, no,94,26.84,4,Yes,IN,0.87,Yes,Critical
 412-9997, no, no,111,36.43,1,No,WV,0.0,No,Low
 346-7302, no, yes,74,26.2,2,No,KY,0.03,No,Low
 358-9095, no, no,128,40.44,1,Yes,NJ,0.73,Yes,High
 400-9770, no, no,82,24.46,1,No,DC,0.0,No,Low
 334-1275, no, no,155,34.58,0,Yes,LA,0.62,Yes,High
 340-4953, no, no,80,21.13,1,No,AR,0.02,No,Low
 400-9510, no, no,78,42.99,3,No,ME,0.11,No,Low
 387-6103, no, no,90,30.45,3,No,AZ,0.01,No,Low
 366-4467, no, no,104,47.33,1,No,AK,0.05,No,Low
 370-3450, no, no,73,27.22,0,No,MT,0.02,No,Low
 327-3954, no, no,99,33.69,4,No,AZ,0.1,No,Low
 355-6291, no, no,120,36.06,1,Yes,MS,0.65,Yes,High
 362-9748, no, no,77,42.81,2,Yes,ID,0.73,Yes,High
 379-6506, no, yes,98,27.4,4,No,IA,0.12,No,Low
 347-7741, no, no,108,30.31,0,No,MA,0.03,No,Low
 354-3783, no, no,135,25.79,0,No,VT,0.0,No,Low
 401-7594, no, no,95,22.95,1,No,KY,0.01,No,Low
 397-4976, no, no,122,28.99,1,No,IN,0.01,No,Low
 334-2577, no, no,95,40.48,4,No,AZ,0.09,No,Low
 400-3637, no, yes,36,47.84,2,No,MI,0.04,No,Low
 383-4361, no, yes,93,20.04,1,No,NM,0.01,No,Low
 371-4306, no, yes,141,25.26,1,No,CO,0.02,No,Low
 403-4298, no, no,157,39.07,3,No,UT,0.03,No,Low
 409-3786, no, no,120,28.05,1,No,MI,0.03,No,Low
 337-4697, no, no,103,31.45,2,No,MA,0.0,No,Low
 383-1509, no, no,98,27.37,4,No,AL,0.23,No,Low
 359-9794, no, no,125,21.54,1,No,DE,0.0,No,Low
 407-7035, no, no,63,10.01,1,No,AZ,0.02,No,Low
 363-1069, yes, yes,36,33.46,0,Yes,ME,0.92,Yes,Critical
 391-4652, no, no,64,27.64,1,No,NJ,0.05,No,Low
 355-6837, no, no,74,48.03,1,Yes,NV,0.94,Yes,Critical
 409-1244, no, yes,112,19.33,2,No,MO,0.03,No,Low
 328-3266, no, no,97,40.77,2,No,ID,0.01,No,Low
 352-7072, no, no,46,35.73,1,No,NE,0.01,No,Low
 370-7550, no, yes,41,36.35,0,No,TX,0.01,No,Low
 369-5526, no, no,121,32.42,3,No,MD,0.01,No,Low
 329-4391, no, no,193,29.05,1,No,MS,0.02,No,Low
 408-4195, no, no,130,26.21,2,No,NV,0.03,No,Low
 354-4445, no, no,85,34.24,1,No,AZ,0.01,No,Low
 335-4858, no, no,162,12.02,4,Yes,MS,0.79,Yes,Critical
 414-8718, no, yes,61,31.88,4,Yes,MS,0.7,Yes,High
 409-5939, no, no,92,15.59,2,No,TX,0.01,No,Low
 331-4902, no, yes,131,36.41,3,No,NE,0.02,No,Low
 353-6870, no, no,90,24.74,3,No,NE,0.01,No,Low
 355-2909, no, no,75,28.27,1,No,CA,0.03,No,Low
 390-6101, no, no,78,39.27,1,No,NJ,0.03,No,Low
 400-3446, no, no,82,34.05,4,No,TX,0.11,No,Low
 411-5859, no, no,163,33.49,1,No,AR,0.01,No,Low
 387-2919, yes, no,91,22.08,3,No,AL,0.19,No,Low
 374-8525, no, yes,75,29.89,5,No,NY,0.12,No,Low
 379-5592, no, no,91,34.53,3,No,FL,0.01,No,Low
 345-8237, no, yes,127,31.14,1,No,AK,0.0,No,Low
 422-6690, no, yes,113,34.85,2,No,NV,0.03,No,Low
 346-2359, no, no,110,25.25,1,No,DE,0.04,No,Low
 374-3534, no, yes,120,34.05,0,No,MD,0.0,No,Low
 381-4756, no, yes,157,32.74,3,No,MI,0.05,No,Low
 390-2805, no, no,103,41.91,1,No,VT,0.05,No,Low
 390-2390, yes, no,117,28.41,2,Yes,VT,0.89,Yes,Critical
 419-9097, no, no,140,39.42,3,No,MI,0.03,No,Low
 386-7281, no, no,127,24.94,1,No,WA,0.0,No,Low
 380-3561, yes, no,83,46.16,1,No,UT,0.19,No,Low
 390-8760, no, no,121,30.86,1,No,LA,0.01,No,Low
 366-6730, no, yes,145,43.81,2,No,RI,0.09,No,Low
 395-5285, no, no,113,32.95,1,No,IA,0.0,No,Low
 354-3436, no, no,117,17.48,1,No,NE,0.07,No,Low
 336-7600, no, no,65,31.94,1,No,OH,0.02,No,Low
 383-6293, no, no,56,38.42,1,No,RI,0.01,No,Low
 362-4596, no, no,96,44.27,5,No,OK,0.09,No,Low
 401-3926, no, no,151,30.38,0,No,LA,0.11,No,Low
 370-9116, no, no,83,57.36,0,Yes,OH,0.91,Yes,Critical
 328-6289, no, yes,139,26.79,0,No,VA,0.02,No,Low
 350-9994, no, no,6,31.21,1,No,MO,0.03,No,Low
 351-4616, no, yes,115,24.16,1,No,FL,0.02,No,Low
 360-5779, no, no,87,23.17,0,No,SC,0.02,No,Low
 417-4885, no, no,141,36.91,0,No,VA,0.01,No,Low
 406-4710, no, yes,141,31.88,3,No,IA,0.02,No,Low
 409-8743, no, no,62,16.81,1,No,MI,0.01,No,Low
 335-4584, no, no,146,35.07,1,No,OK,0.02,No,Low
 361-9845, no, yes,92,41.33,2,No,DE,0.02,No,Low
 366-5699, no, yes,185,32.27,1,No,GA,0.07,No,Low
 329-9364, no, no,148,34.34,1,No,DC,0.01,No,Low
 390-7434, no, yes,94,28.92,1,No,AZ,0.01,No,Low
 404-9680, no, no,32,39.25,0,No,AL,0.08,No,Low
 338-9398, no, no,68,40.31,1,No,CO,0.02,No,Low
 394-2445, no, yes,64,30.96,2,No,NH,0.0,No,Low
 381-2709, no, no,25,20.28,3,No,NM,0.02,No,Low
 397-5060, no, no,65,19.86,1,No,OR,0.01,No,Low
 415-2393, no, no,179,37.26,0,No,LA,0.05,No,Low
 377-1765, no, no,94,42.94,2,No,NE,0.02,No,Low
 409-2111, no, no,62,25.01,0,No,MN,0.02,No,Low
 401-3170, no, no,127,34.36,2,No,MI,0.03,No,Low
 405-5681, no, no,116,29.5,3,No,AR,0.01,No,Low
 411-4582, no, no,70,39.46,3,No,KS,0.1,No,Low
 355-5009, yes, yes,94,33.51,4,No,WV,0.1,No,Low
 372-3750, no, no,126,9.89,5,Yes,AK,0.91,Yes,Critical
 405-2888, no, yes,67,19.65,2,No,NY,0.0,No,Low
 361-3337, no, no,19,31.64,2,No,NH,0.02,No,Low
 350-1639, yes, no,170,44.18,3,No,VA,0.5,No,Medium
 333-3221, no, no,73,36.43,1,No,NM,0.3,No,Medium
 422-1471, no, no,106,26.98,1,No,NY,0.05,No,Low
 399-7865, no, no,93,46.17,2,No,AZ,0.2,No,Low
 373-4819, no, no,164,27.3,1,No,WY,0.02,No,Low
 338-6981, no, no,51,39.51,1,No,WA,0.05,No,Low
 418-4365, no, no,107,22.75,0,No,CO,0.01,No,Low
 359-5461, no, no,130,30.07,1,No,TX,0.0,No,Low
 375-3586, no, no,80,35.68,2,No,KY,0.01,No,Low
 407-8376, no, no,94,23.38,0,No,MT,0.07,No,Low
 408-6496, no, yes,118,49.22,1,No,OK,0.05,No,Low
 385-7688, no, yes,117,33.68,1,No,MD,0.01,No,Low
 332-6934, no, no,78,25.45,0,No,TN,0.04,No,Low
 378-3625, no, no,208,55.51,2,Yes,TX,0.79,Yes,Critical
 353-7292, yes, yes,131,49.79,4,Yes,ME,0.85,Yes,Critical
 399-6786, no, no,63,14.11,0,No,DC,0.02,No,Low
 358-3261, no, yes,53,24.77,3,No,MN,0.01,No,Low
 377-9932, no, no,62,30.99,2,No,DE,0.08,No,Low
 397-4030, no, no,97,37.06,3,No,MD,0.03,No,Low
 367-1062, no, no,105,23.9,2,No,MI,0.02,No,Low
 341-8467, no, no,157,25.96,1,No,WA,0.01,No,Low
 339-9453, no, yes,66,18.14,1,No,MO,0.02,No,Low
 344-3388, no, no,122,41.45,2,No,IN,0.11,No,Low
 375-8013, no, no,38,33.05,3,No,OR,0.0,No,Low
 408-4142, no, no,106,36.36,3,No,MD,0.0,No,Low
 386-3671, no, no,99,36.92,3,No,RI,0.02,No,Low
 411-2284, no, no,99,40.99,1,No,LA,0.02,No,Low
 346-7795, yes, no,144,34.6,0,No,AZ,0.04,No,Low
 333-5609, no, yes,82,26.38,1,No,PA,0.01,No,Low
 405-1842, no, yes,86,28.49,1,No,AZ,0.02,No,Low
 366-6345, yes, no,70,38.54,2,Yes,FL,0.96,Yes,Critical
 337-9345, no, no,93,30.48,3,No,LA,0.01,No,Low
 328-6770, no, no,93,25.74,0,No,FL,0.0,No,Low
 380-7321, no, no,120,30.6,3,No,FL,0.0,No,Low
 375-1476, no, no,136,42.53,1,Yes,MD,0.85,Yes,Critical
 356-1567, no, no,106,37.91,0,No,AL,0.02,No,Low
 422-6685, no, no,81,31.21,3,No,WA,0.03,No,Low
 336-1090, no, yes,127,28.22,1,No,TN,0.02,No,Low
 343-2095, no, no,65,23.14,1,No,MS,0.0,No,Low
 345-3934, no, no,35,25.38,2,No,ME,0.01,No,Low
 338-8050, no, no,88,11.12,2,No,OK,0.05,No,Low
 388-9568, no, no,65,36.28,1,No,IN,0.04,No,Low
 402-6591, no, no,123,35.17,3,No,MO,0.01,No,Low
 403-6419, no, yes,126,31.65,2,No,IA,0.02,No,Low
 386-9790, no, yes,104,47.63,4,No,VA,0.16,No,Low
 378-5692, no, yes,45,33.42,0,No,KY,0.01,No,Low
 360-3324, yes, no,93,53.04,0,Yes,MD,0.91,Yes,Critical
 410-3719, yes, yes,63,33.83,1,No,OH,0.14,No,Low
 352-4221, no, no,100,34.53,3,No,OK,0.02,No,Low
 327-6179, no, no,53,28.7,0,No,NV,0.02,No,Low
 359-6196, yes, no,92,29.43,1,No,ID,0.01,No,Low
 374-9107, no, no,139,22.85,5,Yes,MN,0.96,Yes,Critical
 357-4078, no, yes,110,34.44,2,No,SD,0.07,No,Low
 366-5780, no, no,110,12.67,3,No,IL,0.0,No,Low
 393-9619, no, no,215,14.21,0,No,WY,0.02,No,Low
 355-9295, no, no,73,32.67,1,No,AL,0.01,No,Low
 400-5751, no, no,138,37.43,0,No,NJ,0.01,No,Low
 338-1027, yes, no,137,22.97,2,Yes,NV,0.87,Yes,Critical
 405-8867, no, no,36,43.08,1,No,IN,0.1,No,Low
 336-5616, no, no,85,38.25,3,No,WV,0.02,No,Low
 335-1697, no, no,108,33.75,0,Yes,VA,0.72,Yes,High
 331-5138, no, no,22,18.75,0,No,SC,0.01,No,Low
 385-8240, no, yes,107,10.2,0,No,RI,0.0,No,Low
 348-1359, no, no,51,36.52,0,No,IN,0.01,No,Low
 354-7339, no, no,94,30.91,4,No,AZ,0.15,No,Low
 349-1687, no, yes,119,26.18,2,No,NM,0.02,No,Low
 380-2558, no, yes,33,26.76,4,Yes,OR,0.76,Yes,Critical
 365-2153, no, no,106,35.34,4,No,NJ,0.08,No,Low
 345-6043, no, no,82,35.19,3,No,MS,0.02,No,Low
 349-2808, no, yes,86,20.23,0,No,MI,0.01,No,Low
 411-1715, yes, no,97,24.43,0,No,TX,0.11,No,Low
 385-2488, no, yes,106,28.2,4,No,FL,0.1,No,Low
 377-7177, no, no,108,23.56,1,No,DC,0.02,No,Low
 342-1099, no, no,114,14.4,1,No,TX,0.0,No,Low
 386-4170, yes, no,92,10.64,1,Yes,KS,0.89,Yes,Critical
 413-1269, no, no,59,26.38,1,No,UT,0.03,No,Low
 396-4460, no, yes,24,28.03,1,No,MN,0.0,No,Low
 334-2730, no, no,151,22.87,1,No,IL,0.06,No,Low
 340-3182, no, no,117,24.36,1,No,NM,0.0,No,Low
 377-8608, no, no,78,28.61,1,No,SC,0.03,No,Low
 417-3676, no, no,155,44.61,2,No,NC,0.08,No,Low
 417-6774, no, yes,114,35.05,1,No,WV,0.01,No,Low
 411-9554, no, yes,114,38.39,4,No,RI,0.01,No,Low
 420-3192, no, no,119,23.51,3,No,NH,0.03,No,Low
 389-1475, no, yes,64,16.05,0,No,MO,0.09,No,Low
 343-7734, yes, no,118,27.2,2,No,MA,0.35,No,Medium
 410-3390, no, no,101,35.12,0,No,PA,0.01,No,Low
 344-6495, no, no,117,22.9,1,No,OK,0.02,No,Low
 331-6229, no, yes,49,36.45,3,No,AL,0.0,No,Low
 337-7501, no, no,139,32.78,3,No,WY,0.0,No,Low
 339-9631, no, yes,92,25.69,1,No,PA,0.01,No,Low
 369-4384, no, no,83,37.64,3,No,WA,0.08,No,Low
 416-3915, yes, no,148,37.21,0,No,HI,0.02,No,Low
 339-3049, no, yes,144,32.27,2,Yes,SD,0.66,Yes,High
 361-7998, no, yes,131,32.76,2,No,AL,0.0,No,Low
 355-4842, yes, no,146,34.75,3,No,VT,0.01,No,Low
 387-6440, no, no,143,29.29,2,No,MT,0.07,No,Low
 369-2625, no, no,81,33.73,2,No,MN,0.01,No,Low
 389-7073, no, yes,48,35.99,1,No,AK,0.0,No,Low
 370-8463, no, yes,86,37.67,1,No,MI,0.02,No,Low
 362-7318, no, no,71,33.64,3,No,DE,0.04,No,Low
 412-1194, no, yes,145,25.08,2,No,SD,0.0,No,Low
 355-9508, no, no,137,35.09,2,No,MI,0.0,No,Low
 352-8202, no, no,137,35.0,2,No,KS,0.05,No,Low
 335-5882, no, no,167,35.29,0,No,AL,0.05,No,Low
 352-6976, no, no,89,51.66,1,Yes,OK,0.99,Yes,Critical
 393-6733, no, yes,199,39.2,0,No,CT,0.02,No,Low
 335-1838, no, no,132,16.92,0,No,NE,0.03,No,Low
 355-6930, no, no,94,30.11,1,No,WI,0.0,No,Low
 387-5860, no, yes,96,29.36,5,Yes,CT,0.82,Yes,Critical
 343-2605, no, yes,96,29.36,1,No,WI,0.01,No,Low
 350-6759, no, no,166,34.71,1,No,IN,0.03,No,Low
 371-1514, no, no,74,14.57,2,No,DC,0.03,No,Low
 346-9317, no, no,36,26.79,0,No,AR,0.01,No,Low
 398-4313, no, no,113,36.64,4,No,ME,0.06,No,Low
 412-4399, no, no,94,30.86,1,No,MN,0.01,No,Low
 330-1835, no, no,67,29.19,2,No,MD,0.0,No,Low
 416-1676, no, no,127,45.32,1,Yes,FL,0.93,Yes,Critical
 329-7347, no, no,121,28.97,0,Yes,RI,0.19,No,Low
 360-6868, no, no,158,26.86,1,No,IA,0.1,No,Low
 405-6641, no, no,136,15.64,1,No,AZ,0.04,No,Low
 393-2373, no, no,196,39.78,2,No,MO,0.04,No,Low
 419-1714, no, no,113,46.26,1,Yes,VT,0.97,Yes,Critical
 336-3819, no, no,122,50.39,4,Yes,IN,0.73,Yes,High
 341-3464, no, no,112,33.05,0,No,RI,0.01,No,Low
 413-5310, no, no,209,38.62,3,No,SD,0.27,No,Low
 366-7912, no, no,62,42.28,1,Yes,MN,0.87,Yes,Critical
 399-8845, no, yes,110,40.17,1,No,TX,0.03,No,Low
 368-2583, no, no,16,34.95,0,No,VA,0.0,No,Low
 360-6309, no, no,73,16.0,0,No,MA,0.05,No,Low
 359-5890, no, no,128,21.28,0,No,ID,0.05,No,Low
 332-2462, no, no,39,10.27,1,No,MA,0.07,No,Low
 381-9196, no, yes,103,20.57,2,No,GA,0.0,No,Low
 329-3222, no, yes,119,20.03,3,No,RI,0.01,No,Low
 363-5819, no, yes,173,39.51,3,No,ID,0.03,No,Low
 413-9269, yes, yes,128,38.0,2,Yes,SD,0.68,Yes,High
 330-7483, no, no,86,29.97,0,No,MA,0.03,No,Low
 403-7775, no, yes,114,21.28,1,No,WY,0.01,No,Low
 360-2479, no, no,104,23.58,0,No,VA,0.02,No,Low
 394-3791, no, no,148,14.67,1,No,OR,0.01,No,Low
 384-2632, no, no,129,35.19,3,No,VA,0.01,No,Low
 359-8466, no, yes,100,10.0,0,No,ME,0.01,No,Low
 331-8909, no, yes,121,11.68,1,No,AL,0.01,No,Low
 359-5160, no, yes,143,40.66,1,No,GA,0.02,No,Low
 330-9833, no, no,76,33.71,0,No,IA,0.0,No,Low
 362-2314, no, no,158,34.88,0,No,AZ,0.03,No,Low
 338-8478, no, no,116,32.66,3,No,FL,0.01,No,Low
 387-5453, no, no,54,46.34,1,Yes,MT,0.93,Yes,Critical
 380-3437, no, no,86,21.81,7,Yes,AL,0.85,Yes,Critical
 365-8779, no, no,108,28.83,0,No,DE,0.02,No,Low
 407-2750, no, no,66,34.22,1,No,MT,0.02,No,Low
 396-8265, no, yes,151,36.5,1,No,KY,0.0,No,Low
 397-4304, no, no,99,28.76,0,No,SC,0.02,No,Low
 333-2611, no, no,55,33.0,2,No,WA,0.07,No,Low
 409-8814, no, no,77,39.75,2,No,OR,0.14,No,Low
 336-5406, no, no,78,38.27,0,No,AK,0.03,No,Low
 343-6940, no, no,89,36.21,1,Yes,GA,0.11,No,Low
 361-9923, no, no,101,31.26,1,No,MN,0.02,No,Low
 350-6639, no, yes,44,37.71,0,No,IL,0.02,No,Low
 376-4300, no, yes,98,10.98,2,No,IN,0.0,No,Low
 349-6567, no, yes,64,26.28,1,No,SC,0.01,No,Low
 333-7749, no, no,141,44.23,3,No,VA,0.06,No,Low
 408-6089, no, yes,81,27.47,1,No,WI,0.0,No,Low
 375-2165, no, no,162,37.5,1,No,VT,0.01,No,Low
 400-6999, no, yes,83,26.5,3,No,AZ,0.0,No,Low
 420-7823, no, no,100,18.19,4,Yes,FL,0.61,Yes,High
 366-5241, no, no,59,31.03,4,No,AK,0.07,No,Low
 413-3412, yes, yes,179,37.42,4,No,AR,0.07,No,Low
 406-2752, no, no,79,25.87,1,No,AR,0.03,No,Low
 337-8078, no, no,117,30.86,2,No,AK,0.02,No,Low
 402-1942, yes, no,64,40.15,2,Yes,MS,0.95,Yes,Critical
 371-7917, no, no,31,28.24,1,No,ME,0.0,No,Low
 343-6374, yes, no,124,41.58,1,No,CA,0.12,No,Low
 385-8730, no, yes,122,22.81,2,No,NM,0.02,No,Low
 393-7892, yes, yes,37,25.45,1,No,NE,0.06,No,Low
 407-6748, no, yes,90,25.52,1,No,SC,0.03,No,Low
 341-4463, yes, no,159,43.71,1,Yes,CO,0.85,Yes,Critical
 351-2587, no, no,148,21.15,0,No,DE,0.01,No,Low
 421-9752, no, yes,39,24.09,1,No,OH,0.02,No,Low
 356-4001, no, no,77,39.1,2,No,MS,0.05,No,Low
 328-9869, no, no,194,27.59,0,No,OK,0.02,No,Low
 343-5709, no, no,154,59.64,1,Yes,CO,0.97,Yes,Critical
 334-1872, no, no,112,32.86,4,No,NC,0.05,No,Low
 350-1040, no, no,45,13.29,1,No,MD,0.04,No,Low
 369-3214, no, no,132,14.18,1,No,KS,0.0,No,Low
 385-6778, no, no,128,33.25,0,No,MA,0.02,No,Low
 383-7689, no, no,135,34.31,1,No,NC,0.0,No,Low
 385-5722, no, no,56,33.49,2,No,NM,0.0,No,Low
 357-1909, yes, no,151,37.06,0,Yes,CA,0.87,Yes,Critical
 364-3567, no, no,32,28.02,2,No,NY,0.02,No,Low
 422-4241, no, no,90,30.46,2,No,AZ,0.01,No,Low
 370-2957, no, yes,87,36.38,0,No,SD,0.0,No,Low
 329-6562, no, no,138,28.99,2,No,DC,0.01,No,Low
 363-3515, no, no,79,34.97,1,No,ND,0.02,No,Low
 374-7787, yes, no,95,28.14,1,Yes,MO,0.89,Yes,Critical
 345-2931, no, no,127,37.57,2,No,KS,0.01,No,Low
 373-5732, no, no,137,41.16,3,No,SD,0.06,No,Low
 348-7437, no, no,97,25.77,1,No,OK,0.0,No,Low
 332-9460, yes, no,149,29.95,0,No,OR,0.08,No,Low
 355-6531, yes, yes,117,33.32,1,No,IN,0.08,No,Low
 336-9390, no, no,84,27.12,2,No,OH,0.01,No,Low
 346-8581, no, no,137,39.13,4,No,KS,0.04,No,Low
 363-8824, no, no,99,24.94,3,No,CT,0.08,No,Low
 353-3351, no, no,54,35.79,1,No,NH,0.03,No,Low
 360-4320, no, no,85,17.34,1,No,WI,0.01,No,Low
 417-6252, no, no,150,21.42,3,No,MS,0.05,No,Low
 393-4949, no, no,43,28.63,1,No,WV,0.01,No,Low
 401-3156, no, no,35,17.95,0,No,MA,0.01,No,Low
 338-6283, no, no,98,35.11,5,No,MD,0.04,No,Low
 352-9017, no, no,112,36.91,2,No,PA,0.0,No,Low
 405-5305, no, no,16,39.03,0,Yes,WI,0.55,Yes,High
 376-9249, no, yes,98,47.31,0,No,TN,0.01,No,Low
 339-7139, no, no,84,23.56,0,No,TX,0.0,No,Low
 328-6011, no, no,94,39.85,1,Yes,OR,0.39,No,Medium
 378-1303, no, no,84,30.86,1,No,IL,0.01,No,Low
 402-5155, no, no,66,28.44,1,Yes,DC,0.63,Yes,High
 333-5430, no, yes,98,20.57,1,No,GA,0.0,No,Low
 365-9696, no, no,74,37.59,0,No,ID,0.0,No,Low
 410-4023, no, yes,96,24.79,1,No,UT,0.02,No,Low
 411-7649, no, no,119,37.88,1,No,KY,0.01,No,Low
 338-4065, no, no,73,31.18,4,No,OH,0.05,No,Low
 421-9401, yes, no,92,44.93,0,No,WI,0.09,No,Low
 343-9658, no, no,21,24.82,0,No,IL,0.01,No,Low
 332-5521, no, no,122,26.71,4,Yes,DE,0.86,Yes,Critical
 349-4369, yes, no,133,21.64,1,No,RI,0.03,No,Low
 351-4288, no, no,145,31.94,2,No,TX,0.01,No,Low
 422-5874, no, no,25,30.4,2,No,OR,0.01,No,Low
 396-2324, no, no,64,16.52,2,No,NV,0.0,No,Low
 416-5662, no, no,85,44.17,0,No,NE,0.57,Yes,High
 363-9663, no, no,126,43.61,3,No,MS,0.2,No,Low
 410-9477, no, no,76,28.82,0,No,OR,0.0,No,Low
 352-4418, no, no,113,40.75,2,Yes,DE,0.8,Yes,Critical
 361-6563, yes, no,224,29.16,1,Yes,DE,0.88,Yes,Critical
 417-4404, no, no,117,40.78,0,No,AZ,0.09,No,Low
 372-8048, no, yes,128,24.19,1,No,SD,0.0,No,Low
